"","Especies","Isla","Largo_pico_mm","Ancho_pico_mm","Largo_aleta_mm","Masa_corporal_g","Sexo","Año"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"Masculino","2007"
"2","Adelie","Torgersen",39.5,17.4,186,3800,"Femenino","2007"
"3","Adelie","Torgersen",40.3,18,195,3250,"Femenino","2007"
"4","Adelie","Torgersen",37.8,18.1,190,3700,"Femenino","2007"
"5","Adelie","Torgersen",36.7,19.3,193,3450,"Femenino","2007"
"6","Adelie","Torgersen",39.3,20.6,190,3650,"Masculino","2007"
"7","Adelie","Torgersen",38.9,17.8,181,3625,"Femenino","2007"
"8","Adelie","Torgersen",39.2,19.6,195,4675,"Masculino","2007"
"9","Adelie","Torgersen",34.1,18.1,193,3475,"Femenino","2007"
"10","Adelie","Torgersen",42,20.2,190,4250,"Masculino","2007"
"11","Adelie","Torgersen",37.8,17.1,186,3300,"Femenino","2007"
"12","Adelie","Torgersen",37.8,17.3,180,3700,"Femenino","2007"
"13","Adelie","Torgersen",41.1,17.6,182,3200,"Femenino","2007"
"14","Adelie","Torgersen",38.6,21.2,191,3800,"Masculino","2007"
"15","Adelie","Torgersen",34.6,21.1,198,4400,"Masculino","2007"
"16","Adelie","Torgersen",36.6,17.8,185,3700,"Femenino","2007"
"17","Adelie","Torgersen",38.7,19,195,3450,"Femenino","2007"
"18","Adelie","Torgersen",42.5,20.7,197,4500,"Masculino","2007"
"19","Adelie","Torgersen",34.4,18.4,184,3325,"Femenino","2007"
"20","Adelie","Torgersen",46,21.5,194,4200,"Masculino","2007"
"21","Adelie","Biscoe",37.8,18.3,174,3400,"Femenino","2007"
"22","Adelie","Biscoe",37.7,18.7,180,3600,"Masculino","2007"
"23","Adelie","Biscoe",35.9,19.2,189,3800,"Femenino","2007"
"24","Adelie","Biscoe",38.2,18.1,185,3950,"Masculino","2007"
"25","Adelie","Biscoe",38.8,17.2,180,3800,"Masculino","2007"
"26","Adelie","Biscoe",35.3,18.9,187,3800,"Femenino","2007"
"27","Adelie","Biscoe",40.6,18.6,183,3550,"Masculino","2007"
"28","Adelie","Biscoe",40.5,17.9,187,3200,"Femenino","2007"
"29","Adelie","Biscoe",37.9,18.6,172,3150,"Femenino","2007"
"30","Adelie","Biscoe",40.5,18.9,180,3950,"Masculino","2007"
"31","Adelie",NA,39.5,16.7,178,3250,"Femenino","2007"
"32","Adelie",NA,37.2,18.1,178,3900,"Masculino","2007"
"33","Adelie",NA,39.5,17.8,188,3300,"Femenino","2007"
"34","Adelie",NA,40.9,18.9,184,3900,"Masculino","2007"
"35","Adelie",NA,36.4,17,195,3325,"Femenino","2007"
"36","Adelie",NA,39.2,21.1,196,4150,"Masculino","2007"
"37","Adelie",NA,38.8,20,190,3950,"Masculino","2007"
"38","Adelie",NA,42.2,18.5,180,3550,"Femenino","2007"
"39","Adelie",NA,37.6,19.3,181,3300,"Femenino","2007"
"40","Adelie",NA,39.8,19.1,184,4650,"Masculino","2007"
"41","Adelie",NA,36.5,18,182,3150,"Femenino","2007"
"42","Adelie",NA,40.8,18.4,195,3900,"Masculino","2007"
"43","Adelie",NA,36,18.5,186,3100,"Femenino","2007"
"44","Adelie",NA,44.1,19.7,196,4400,"Masculino","2007"
"45","Adelie",NA,37,16.9,185,3000,"Femenino","2007"
"46","Adelie",NA,39.6,18.8,190,4600,"Masculino","2007"
"47","Adelie",NA,41.1,19,182,3425,"Masculino","2007"
"48","Adelie",NA,37.5,18.9,179,2975,"Femenino","2007"
"49","Adelie",NA,36,17.9,190,3450,"Femenino","2007"
"50","Adelie",NA,42.3,21.2,191,4150,"Masculino","2007"
"51","Adelie","Biscoe",39.6,17.7,186,3500,"Femenino","2008"
"52","Adelie","Biscoe",40.1,18.9,188,4300,"Masculino","2008"
"53","Adelie","Biscoe",35,17.9,190,3450,"Femenino","2008"
"54","Adelie","Biscoe",42,19.5,200,4050,"Masculino","2008"
